ZONE	i=65	j=49
	-5.0000000000000000E-01,	5.6205040621648550E-16
	-4.6875000000000000E-01,	5.6205040621648550E-16
	-4.3750000000000000E-01,	5.6205040621648570E-16
	-4.0625000000000000E-01,	5.6205040621648540E-16
	-3.7500000000000000E-01,	5.6205040621648570E-16
	-3.4375000000000000E-01,	5.6205040621648550E-16
	-3.1250000000000000E-01,	5.6205040621648560E-16
	-2.8125000000000000E-01,	5.6205040621648560E-16
	-2.5000000000000000E-01,	5.6205040621648550E-16
	-2.1875000000000000E-01,	5.6205040621648540E-16
	-1.8750000000000000E-01,	5.6205040621648550E-16
	-1.5625000000000000E-01,	5.6205040621648550E-16
	-1.2500000000000000E-01,	5.6205040621648560E-16
	-9.3750000000000000E-02,	5.6205040621648540E-16
	-6.2500000000000000E-02,	5.6205040621648550E-16
	-3.1250000000000000E-02,	5.6205040621648530E-16
	0.0000000000000000E+00,	5.6205040621648550E-16
	3.1250000000000000E-02,	5.5102181471400908E-03
	6.2500000000000000E-02,	1.1020436294279620E-02
	9.3750000000000000E-02,	1.6530654441419150E-02
	1.2500000000000000E-01,	2.2040872588558681E-02
	1.5625000000000000E-01,	2.7551090735698201E-02
	1.8750000000000000E-01,	3.3061308882837731E-02
	2.1875000000000000E-01,	3.8571527029977258E-02
	2.5000000000000000E-01,	4.4081745177116792E-02
	2.8125000000000000E-01,	4.9591963324256319E-02
	3.1250000000000000E-01,	5.5102181471395853E-02
	3.4375000000000000E-01,	6.0612399618535373E-02
	3.7500000000000000E-01,	6.6122617765674907E-02
	4.0625000000000000E-01,	7.1632835912814441E-02
	4.3750000000000000E-01,	7.7143054059953947E-02
	4.6875000000000000E-01,	8.2653272207093481E-02
	5.0000000000000000E-01,	8.8163490354233015E-02
	5.3125000000000000E-01,	8.2653272207093481E-02
	5.6250000000000000E-01,	7.7143054059953947E-02
	5.9375000000000000E-01,	7.1632835912814441E-02
	6.2500000000000000E-01,	6.6122617765674907E-02
	6.5625000000000000E-01,	6.0612399618535373E-02
	6.8750000000000000E-01,	5.5102181471395853E-02
	7.1875000000000000E-01,	4.9591963324256319E-02
	7.5000000000000000E-01,	4.4081745177116792E-02
